,job_id,task_id,start_time,duration,cpu,storage
1883,365,365_5,13116.126120090485,1.0745692253112793,10.3,30101504.0
1884,365,365_6,13118.887353897095,1.009763479232788,9.9,35414016.0
1885,366,366_client,13129.591938972473,13.090136289596558,0.0,0.0
1886,366,366_server,13140.321261882782,2.278198003768921,10.2,76972032.0
1887,366,366_0,13129.707249164581,0.0085582733154296,126.7,26779648.0
1888,366,366_1,13129.923106908798,0.0725762844085693,13.9,26607616.0
1889,366,366_2,13130.130626678467,0.0684447288513183,14.7,26779648.0
1890,366,366_3,13130.391181230545,0.2115712165832519,9.5,27033600.0
1891,366,366_4,13131.100099563599,0.4986164569854736,10.0,29556736.0
1892,366,366_5,13132.491426229477,1.3017261028289795,9.2,30101504.0
1893,366,366_6,13135.241300344467,1.0535154342651367,9.5,35414016.0
1894,367,367_client,13146.090623378754,13.182946681976318,0.0,0.0
1895,367,367_server,13156.96645975113,2.2236363887786865,10.4,76972032.0
1896,367,367_0,13146.206750869751,0.0070998668670654,0.0,26779648.0
1897,367,367_1,13146.425337791443,0.0672073364257812,15.0,26607616.0
1898,367,367_2,13146.631252765656,0.1612138748168945,6.2,26779648.0
1899,367,367_3,13146.925057411194,0.2740914821624756,11.0,27033600.0
1900,367,367_4,13147.592793226242,1.199002981185913,9.9,29556736.0
1901,367,367_5,13149.042725086212,1.2499730587005615,9.6,30101504.0
1902,367,367_6,13151.79723238945,1.002807378768921,10.0,35414016.0
1903,368,368_client,13162.596616983414,12.981651306152344,0.0,0.0
1904,368,368_server,13173.392692804337,2.103426933288574,10.0,76972032.0
1905,368,368_0,13162.713576555252,0.0848963260650634,23.7,26779648.0
1906,368,368_1,13162.924500226974,0.0753848552703857,26.7,26607616.0
1907,368,368_2,13163.127115011215,0.1648385524749755,12.2,26779648.0
1908,368,368_3,13163.42677474022,0.2636725902557373,16.9,27033600.0
1909,368,368_4,13164.118988752365,0.8764100074768066,8.0,29556736.0
1910,368,368_5,13165.505303382874,1.1954715251922607,10.0,30101504.0
1911,368,368_6,13168.225162744522,1.1670918464660645,10.3,35414016.0
1912,369,369_client,13178.894480466843,13.18537974357605,0.0,0.0
1913,369,369_server,13189.686397790909,2.3114945888519287,11.0,76972032.0
1914,369,369_0,13179.011229038239,0.1799502372741699,16.7,26779648.0
1915,369,369_1,13179.228752374649,0.1610193252563476,13.3,26607616.0
1916,369,369_2,13179.522590398788,0.1686682701110839,11.9,26779648.0
1917,369,369_3,13179.734336614609,0.2608563899993896,11.8,27033600.0
1918,369,369_4,13180.40891122818,0.7850360870361328,10.2,29556736.0
1919,369,369_5,13181.798643827438,1.2949557304382324,10.0,30101504.0
1920,369,369_6,13184.539624214172,0.9596269130706788,9.4,35414016.0
1921,370,370_client,13195.39510846138,13.081969738006592,0.0,0.0
1922,370,370_server,13206.229665756226,2.163177728652954,10.2,76972032.0
1923,370,370_0,13195.511365652084,0.1782917976379394,19.6,26779648.0
1924,370,370_1,13195.729489564896,0.0681138038635253,14.8,26607616.0
1925,370,370_2,13195.927442789078,0.1622636318206787,14.7,26779648.0
1926,370,370_3,13196.21717119217,0.2762417793273926,10.9,27033600.0
1927,370,370_4,13196.950038909912,0.8438842296600342,9.5,29556736.0
1928,370,370_5,13198.311098575592,1.279567003250122,10.1,30101504.0
1929,370,370_6,13201.03664803505,0.957350492477417,9.4,35414016.0
1930,371,371_client,13211.700907707214,12.973158121109009,0.0,0.0
1931,371,371_server,13222.487560033798,2.1044023036956787,10.5,76972032.0
1932,371,371_0,13211.820925951004,0.0818634033203125,25.2,26779648.0
1933,371,371_1,13212.0230448246,0.0722243785858154,27.9,26607616.0
1934,371,371_2,13212.24379658699,0.1486141681671142,35.2,26779648.0
1935,371,371_3,13212.529834747314,0.2731986045837402,14.7,27033600.0
1936,371,371_4,13213.232211589813,0.7648839950561523,9.2,29556736.0
1937,371,371_5,13214.615258216858,1.2761437892913818,10.1,30101504.0
1938,371,371_6,13217.318677425385,0.9792282581329346,10.2,35414016.0
1939,372,372_client,13227.904546022415,12.974042892456056,0.0,0.0
1940,372,372_server,13238.755544900894,2.0416371822357178,10.3,76972032.0
1941,372,372_0,13228.020014286041,0.0066597461700439,159.1,26779648.0
1942,372,372_1,13228.22332406044,0.0053009986877441,0.0,26607616.0
1943,372,372_2,13228.42759847641,0.1652824878692627,6.1,26779648.0
1944,372,372_3,13228.730541944504,0.3685669898986816,10.9,27033600.0
1945,372,372_4,13229.407509088516,1.002153396606445,9.0,29556736.0
1946,372,372_5,13230.849468231201,1.4413409233093262,9.0,30101504.0
1947,372,372_6,13233.58208322525,1.012068271636963,10.9,35414016.0
1948,373,373_client,13244.193667411804,13.279007911682127,0.0,0.0
1949,373,373_server,13254.948340654373,2.4424078464508057,10.3,76972032.0
1950,373,373_0,13244.316994190216,0.1740446090698242,11.5,26779648.0
1951,373,373_1,13244.525253295898,0.1648268699645996,12.2,26607616.0
1952,373,373_2,13244.726701974869,0.0691473484039306,14.6,26779648.0
1953,373,373_3,13244.994950056076,0.2992806434631347,14.5,27033600.0
1954,373,373_4,13245.689101696014,0.6048548221588135,9.9,29556736.0
1955,373,373_5,13247.081387996674,1.1142992973327637,9.9,30101504.0
1956,373,373_6,13249.795767307281,0.997495412826538,11.0,35414016.0
1957,374,374_client,13260.890789985657,12.98241686820984,0.0,0.0
1958,374,374_server,13271.600630998611,2.190893173217773,10.0,76972032.0
1959,374,374_0,13261.007249355316,0.1823866367340088,21.2,26779648.0
1960,374,374_1,13261.22983622551,0.0641365051269531,15.7,26607616.0
1961,374,374_2,13261.425819396973,0.1637442111968994,118.9,26779648.0
1962,374,374_3,13261.72023844719,0.2792448997497558,10.8,27033600.0
1963,374,374_4,13262.39315867424,0.5977075099945068,8.4,29556736.0
1964,374,374_5,13263.761678695679,1.2283694744110107,10.6,30101504.0
1965,374,374_6,13266.47282910347,1.0208265781402588,9.8,35414016.0
1966,375,375_client,13277.193262815475,12.984125137329102,0.0,0.0
1967,375,375_server,13287.966300964355,2.129917621612549,10.4,76972032.0
1968,375,375_0,13277.31524682045,0.007279634475708,150.0,26779648.0
1969,375,375_1,13277.523726701736,0.1657767295837402,14.1,26607616.0
1970,375,375_2,13277.726719617844,0.1672406196594238,12.0,26779648.0
1971,375,375_3,13278.02930855751,0.2686445713043213,14.9,27033600.0
